Código de vehículo;Tipo;Matrícula;Marca;Modelo;Plazas;Código de conductor;Conductor;Vehículo bloqueado;Estado;Fecha baja;Fecha final ITV;Fecha final tacógrafo;Bastidor;Núm. Obra;Longitud;Altura;Vehículo tipo;Fecha matriculación;Primera matriculación;Código Empresa;Empresa;Inhabilitado para tráfico;Kilómetros;Caducidad extintores;Caducidad Escolar
1;P;4701 FLW;VOLVO B12B;TITANIUM;55;9999;SIN ASIGNAR;No;A;;;;4701YV3R8G1277A118254;;122;39;Autocar;;;1;AUTOCARES V. YEGROS S.L.;No;0;;
2;P;0708 HJP;VOLVO B13 B;TITANIUM;55;9999;SIN ASIGNAR;No;A;;;;YU3T2P526BA151613;;12,8;3,9;Autocar;;;1;AUTOCARES V. YEGROS S.L.;No;0;;
3;P;0577 HJT;MERCEDS OC 500;TATA;61;9999;SIN ASIGNAR;No;A;;;;WEB63440111000084;;13,85;3,8;Autocar;;;1;AUTOCARES V. YEGROS S.L.;No;0;;
4;P;8127 MGN;IVECO 450;MANYELYS;52;9999;SIN ASIGNAR;No;A;;;;VNESFR21000000570;;12,85;3,7;Autocar;;;1;AUTOCARES V. YEGROS S.L.;No;0;;
5;P;9313 JCY;VOLVO B11 B;SC7;59;9999;SIN ASIGNAR;No;A;;;;YU3T2U821FA171154;;12,9;3,75;Autocar;;;1;AUTOCARES V. YEGROS S.L.;No;0;;
7;P;7933 MNX;VDL;FUTURA;55;9999;SIN ASIGNAR;No;A;;;;;;12,8;3,75;Autocar;;;1;AUTOCARES V. YEGROS S.L.;No;0;;
8;P;5512GST;MERCEDES;FAREBUS;34;9999;SIN ASIGNAR;No;A;;;;WDB9702571L448818;;9,3;3,38;Autocar;;;1;AUTOCARES V. YEGROS S.L.;No;0;;
9;P;6289 HJS;IVECO 170;WIN;24;9999;SIN ASIGNAR;No;A;;;;ECFC70C0005896880;;7,79;2,42;Autocar;;;1;AUTOCARES V. YEGROS S.L.;No;0;;
10;P;4906 GKS;MERDEDES 515 CDI;SPRINTER;17;9999;SIN ASIGNAR;No;A;;;;WDB9066571S276413;;;;MiniBus;;;1;AUTOCARES V. YEGROS S.L.;No;0;;
12;P;0459 GKT;MERCEDES 515 CDI;SPRINTER;17;9999;SIN ASIGNAR;No;A;;;;WDB9066571S273794;;;;MiniBus;;04/02/2009;1;AUTOCARES V. YEGROS S.L.;No;0;;
10000;P;2714 GKV;MERCEDES; SPRINTER;17;9999;SIN ASIGNAR;No;A;;08/05/2026;;;;;;MiniBus;;;1;AUTOCARES V. YEGROS S.L.;No;0;;
10001;P;1856 MHL;VDL;FUTURA FMD2 139/460;61;9999;SIN ASIGNAR;No;A;;;08/01/2027;XNL501R100D005666;;;;Autocar;;20/09/2017;1;AUTOCARES V. YEGROS S.L.;No;0;;
